Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-01-07 19:00",26057.25,26065,26047,26065,3.5,+0.01%,3
"2026-01-07 18:00",26061.5,26061.5,26061.5,26061.5,8.5,+0.03%,1
"2026-01-07 17:00",26053,26053,26053,26053,-5.5,-0.02%,1
"2026-01-07 15:00",26058.5,26058.5,26058.5,26058.5,-6.75,-0.03%,1
"2026-01-07 14:00",26126.25,26126.25,26047,26065.25,-74.75,-0.29%,23
"2026-01-07 13:00",26180,26180,26125,26140,-40.,-0.15%,20
"2026-01-07 12:00",26187,26195,26158.25,26180,-13.75,-0.05%,32
"2026-01-07 11:00",26200.5,26215,26190.25,26193.75,1.25,0.00%,21
"2026-01-07 10:00",26135,26192.5,26115.5,26192.5,62.75,+0.24%,26
"2026-01-07 09:00",26050,26133.75,26045,26129.75,38,+0.15%,44
"2026-01-07 08:00",25994,26100,25994,26091.75,81.75,+0.31%,33
"2026-01-07 07:00",25991.75,26010,25991.75,26010,20.75,+0.08%,11
"2026-01-07 06:00",26002,26002,25989.25,25989.25,31.25,+0.12%,2
"2026-01-07 04:00",25958,25958,25958,25958,-17.,-0.07%,1
"2026-01-07 03:00",25965,25975,25958.75,25975,-8.,-0.03%,3
"2026-01-07 02:00",25989,25989,25983,25983,-15.,-0.06%,3
"2026-01-07 01:00",25990,25998,25990,25998,-7.,-0.03%,2
"2026-01-06 23:00",26005,26005,26005,26005,-6.25,-0.02%,1
"2026-01-06 22:00",26011.25,26011.25,26011.25,26011.25,-13.5,-0.05%,1
"2026-01-06 20:00",26039.25,26039.25,26024.75,26024.75,-18.25,-0.07%,3
"2026-01-06 19:00",26043,26043,26043,26043,-19.,-0.07%,1
"2026-01-06 18:00",26054.75,26062,26053.75,26062,12,+0.05%,8
"2026-01-06 17:00",26048.5,26050,26048.5,26050,9.75,+0.04%,4
"2026-01-06 14:00",26045,26061.5,26034.75,26040.25,8,+0.03%,24
"2026-01-06 13:00",26025,26042.5,26025,26032.25,11.25,+0.04%,23
"2026-01-06 12:00",25981.5,26025,25969.5,26021,41,+0.16%,42
"2026-01-06 11:00",25907,25999,25905,25980,70.5,+0.27%,30
"2026-01-06 10:00",25900,25918.25,25867.5,25909.5,-0.75,0.00%,37
"2026-01-06 09:00",25995,26000,25900,25910.25,-71.,-0.27%,58
"2026-01-06 08:00",25866.75,25981.25,25834.5,25981.25,151.25,+0.59%,71
"2026-01-06 07:00",25871,25871,25830,25830,-36.75,-0.14%,5
"2026-01-06 06:00",25833,25866.75,25833,25866.75,48.75,+0.19%,2
"2026-01-06 05:00",25818,25818,25818,25818,11,+0.04%,2
"2026-01-06 04:00",25807,25807,25807,25807,-18.,-0.07%,2
"2026-01-06 03:00",25792,25825,25789,25825,30.25,+0.12%,8
"2026-01-06 02:00",25860,25862.75,25777.5,25794.75,-99.,-0.38%,13
"2026-01-06 00:00",25880,25893.75,25880,25893.75,31.75,+0.12%,2
"2026-01-05 23:00",25872.25,25872.25,25862,25862,-3.25,-0.01%,4
"2026-01-05 22:00",25865.25,25865.25,25865.25,25865.25,20.75,+0.08%,1
"2026-01-05 21:00",25848,25848,25844.5,25844.5,6.5,+0.03%,2
"2026-01-05 20:00",25826.5,25838,25826.5,25838,20,+0.08%,3
"2026-01-05 19:00",25816.75,25818,25816.75,25818,30,+0.12%,2
"2026-01-05 17:00",25815,25815,25788,25788,-15.75,-0.06%,4
"2026-01-05 14:00",25791.25,25830,25791.25,25803.75,8.75,+0.03%,16
"2026-01-05 13:00",25832.75,25834.25,25780,25795,-38.5,-0.15%,23
"2026-01-05 12:00",25844,25845,25780,25833.5,-16.5,-0.06%,32
"2026-01-05 11:00",25882.5,25887,25830,25850,-32.,-0.12%,36
"2026-01-05 10:00",25892.25,25925.5,25882,25882,-1.,0.00%,30
"2026-01-05 09:00",25841.25,25897,25792,25883,93,+0.36%,50
"2026-01-05 08:00",25836.5,25893,25766.25,25790,25,+0.10%,53
"2026-01-05 07:00",25750,25765,25750,25765,-7.5,-0.03%,2
"2026-01-05 06:00",25800,25800,25772.5,25772.5,-21.,-0.08%,2
"2026-01-05 05:00",25781.75,25793.5,25781.75,25793.5,19.5,+0.08%,3
"2026-01-05 04:00",25777.25,25777.25,25774,25774,44,+0.17%,2
"2026-01-05 03:00",25733.75,25733.75,25730,25730,-14.25,-0.06%,2
"2026-01-05 02:00",25720,25760,25720,25744.25,38,+0.15%,7
"2026-01-04 23:00",25706.25,25706.25,25706.25,25706.25,24.25,+0.09%,1
"2026-01-04 22:00",25682.5,25682.5,25678.25,25682,3.5,+0.01%,3
"2026-01-04 21:00",25698,25700.75,25678.5,25678.5,-2.75,-0.01%,25
"2026-01-04 20:00",25698,25705.25,25681.25,25681.25,-14.25,-0.06%,5
"2026-01-04 18:00",25697,25697,25695.5,25695.5,23.5,+0.09%,2
"2026-01-04 17:00",25636.25,25683,25628.25,25672,65,+0.25%,30
"2026-01-02 15:00",25614,25635,25607,25607,-6.,-0.02%,10
"2026-01-02 14:00",25630.5,25669,25592.75,25613,0.75,0.00%,31
"2026-01-02 13:00",25562.25,25674.25,25562.25,25612.25,99,+0.39%,37
"2026-01-02 12:00",25560,25570,25488,25513.25,-22.,-0.09%,17
"2026-01-02 11:00",25542.5,25625,25535.25,25535.25,1.25,0.00%,18
"2026-01-02 10:00",25563.5,25627,25534,25534,-60.75,-0.24%,27
"2026-01-02 09:00",25988.5,25989.75,25590.5,25594.75,-361.25,-1.39%,114
"2026-01-02 08:00",25926.75,26023.75,25873,25956,49,+0.19%,93
"2026-01-02 07:00",25920.5,25927,25907,25907,-16.,-0.06%,14
"2026-01-02 06:00",25922,25923,25919.75,25923,-31.25,-0.12%,3
"2026-01-02 03:00",25954.25,25954.25,25954.25,25954.25,37.25,+0.14%,1
"2026-01-02 02:00",25875.75,25917,25875.75,25917,50,+0.19%,4
"2026-01-02 00:00",25867,25867,25867,25867,31.5,+0.12%,5
"2026-01-01 23:00",25835.5,25835.5,25835.5,25835.5,-12.5,-0.05%,6
"2026-01-01 22:00",25853.75,25853.75,25848,25848,18,+0.07%,3
"2026-01-01 21:00",25828.75,25830,25825.75,25830,1.5,+0.01%,3
"2026-01-01 20:00",25779.75,25828.5,25779.75,25828.5,56.5,+0.22%,5
"2026-01-01 19:00",25737.25,25772,25737.25,25772,47.25,+0.18%,3
"2026-01-01 18:00",25705.25,25724.75,25705.25,25724.75,19.75,+0.08%,2
"2026-01-01 17:00",25705,25705,25705,25705,37.75,+0.15%,6
"2025-12-31 15:00",25695.25,25695.25,25667.25,25667.25,-15.,-0.06%,5
"2025-12-31 14:00",25750,25750,25668,25682.25,-78.25,-0.30%,33
"2025-12-31 13:00",25850,25850,25760.5,25760.5,-80.5,-0.31%,13
"2025-12-31 12:00",25814.75,25852,25814.75,25841,39.75,+0.15%,9
"2025-12-31 11:00",25829.75,25829.75,25801,25801.25,-25.5,-0.10%,9
"2025-12-31 10:00",25784.5,25830.25,25784.5,25826.75,49.5,+0.19%,5
"2025-12-31 09:00",25820,25840,25770.5,25777.25,-69.25,-0.27%,15
"2025-12-31 08:00",25923.75,25923.75,25814,25846.5,-86.25,-0.33%,26
"2025-12-31 07:00",25871.25,25936,25871.25,25932.75,79.75,+0.31%,8
"2025-12-31 06:00",25838.25,25853,25838.25,25853,20.75,+0.08%,3
"2025-12-31 05:00",25824.5,25832.25,25824.5,25832.25,34.5,+0.13%,3
"2025-12-31 03:00",25797.75,25797.75,25797.75,25797.75,14.5,+0.06%,1
"2025-12-31 02:00",25805.75,25805.75,25783.25,25783.25,-44.25,-0.17%,5
"2025-12-31 01:00",25820,25827.5,25800,25827.5,4.75,+0.02%,4
"2025-12-30 23:00",25838.75,25838.75,25822.75,25822.75,-27.25,-0.11%,5
"2025-12-30 22:00",25850,25850,25850,25850,19,+0.07%,1
"2025-12-30 21:00",25852,25852,25831,25831,-5.,-0.02%,3
"2025-12-30 20:00",25844.75,25844.75,25836,25836,1,0.00%,2
"2025-12-30 19:00",25815.5,25836.5,25815.5,25835,-5.25,-0.02%,5
"2025-12-30 18:00",25833.25,25842.5,25832.75,25840.25,-32.,-0.12%,4
"2025-12-30 17:00",25891.75,25891.75,25872.25,25872.25,-51.,-0.20%,2
"2025-12-30 14:00",25931,25933.5,25910,25923.25,-23.,-0.09%,8
"2025-12-30 13:00",25946.25,25946.25,25946.25,25946.25,6.25,+0.02%,1
"2025-12-30 11:00",25928.75,25940,25924,25940,-10.75,-0.04%,7
