Time,Open,High,Low,Latest,Change,%Change,Volume
"2023-12-27 08:00",258.35,263.34,257.52,262.72,6.11,+2.38%,48771640
"2023-12-26 12:00",257.0761,257.97,256.18,256.61,-0.45,-0.18%,34554280
"2023-12-26 08:00",254.49,257.479,252.91,257.06,4.52,+1.79%,38082721
"2023-12-22 12:00",255.73,256.39,251.37,252.54,-3.195,-1.25%,36218598
"2023-12-22 08:00",256.76,258.22,254.26,255.735,1.235,+0.49%,41088566
"2023-12-21 12:00",252.5499,254.7999,250.0701,254.5,2,+0.79%,41794562
"2023-12-21 08:00",251.9,254.01,248.55,252.5,5.36,+2.17%,49922363
"2023-12-20 12:00",256.67,257.44,247,247.14,-9.5286,-3.71%,60484837
"2023-12-20 08:00",256.41,259.84,254.8701,256.6686,-0.5514,-0.21%,43942839
"2023-12-19 12:00",256.4248,257.25,254.66,257.22,0.8233,+0.32%,40222815
"2023-12-19 08:00",253.48,258.3399,253.01,256.3967,4.3167,+1.71%,48638661
"2023-12-18 12:00",253.94,255.3794,251.36,252.08,-1.8585,-0.73%,46920334
"2023-12-18 08:00",253.78,258.74,252.56,253.9385,0.4385,+0.17%,48983136
"2023-12-15 12:00",252.82,254.13,250.6,253.5,0.6773,+0.27%,61538329
"2023-12-15 08:00",251.21,253.3,248.3,252.8227,1.7727,+0.71%,52012371
"2023-12-14 12:00",249.79,253.88,247.2,251.05,1.2626,+0.51%,66444533
"2023-12-14 08:00",241.22,250.99,240.79,249.7874,10.4974,+4.39%,65887340
"2023-12-13 12:00",229.53,240.3,228.78,239.29,9.7275,+4.24%,69515848
"2023-12-13 08:00",234.19,236.9,228.2,229.5625,-7.4475,-3.14%,52853934
"2023-12-12 12:00",234.9545,237.5262,233.88,237.01,2.05,+0.87%,35868060
"2023-12-12 08:00",238.55,238.99,233.87,234.96,-4.663,-1.95%,40956200
"2023-12-11 12:00",237.995,240.67,237.52,239.623,1.623,+0.68%,37503520
"2023-12-11 08:00",242.74,243.441,237.45,238,-5.84,-2.40%,43215385
"2023-12-08 12:00",241.96,244.74,240.48,243.84,1.865,+0.77%,40126112
"2023-12-08 08:00",240.27,245.27,239.2701,241.975,-0.6286,-0.26%,45943924
"2023-12-07 12:00",242.54,243.07,239.4,242.6036,0.0636,+0.03%,39206151
"2023-12-07 08:00",241.55,244.08,236.98,242.54,3.17,+1.32%,50768972
"2023-12-06 12:00",244.89,246.57,239.1709,239.37,-5.535,-2.26%,50156956
"2023-12-06 08:00",242.92,246.2,241.3451,244.905,6.185,+2.59%,56047771
"2023-12-05 12:00",243.5,243.77,237.59,238.72,-4.75,-1.95%,57162245
"2023-12-05 08:00",233.87,246.66,233.7,243.47,7.89,+3.35%,60012369
"2023-12-04 12:00",236.79,238.42,235.42,235.58,-1.205,-0.51%,40265679
"2023-12-04 08:00",235.75,239.3733,233.2902,236.785,-2.045,-0.86%,46504340
"2023-12-01 12:00",237.33,240.19,236.6167,238.83,1.49,+0.63%,44293556
"2023-12-01 08:00",233.14,237.99,231.9,237.34,-2.6,-1.08%,55361311
"2023-11-30 12:00",239.73,241.85,236.91,239.94,0.224,+0.09%,54071993
"2023-11-30 08:00",245.14,245.22,239.11,239.716,-4.424,-1.81%,54210533
"2023-11-29 12:00",248.12,249.06,242.76,244.14,-3.9795,-1.60%,49492521
"2023-11-29 08:00",249.21,252.75,245.36,248.1195,1.3995,+0.57%,62717029
"2023-11-28 12:00",241.95,247,241.3179,246.72,4.76,+1.97%,58545987
"2023-11-28 08:00",236.68,242.72,234.01,241.96,5.88,+2.49%,63222831
"2023-11-27 12:00",235.3449,238.33,235.1,236.08,0.73,+0.31%,45068464
"2023-11-27 08:00",236.89,237.8,232.1,235.35,-0.1,-0.04%,48603273
"2023-11-24 12:00",237.15,237.6,235.43,235.45,-1.7,-0.72%,11562783
"2023-11-24 08:00",233.75,238.75,232.33,237.15,2.94,+1.26%,42169903
"2023-11-22 12:00",232.9799,234.8206,231.4,234.21,1.242,+0.53%,41803312
"2023-11-22 08:00",242.04,244.01,231.4638,232.968,-8.232,-3.41%,56234455
"2023-11-21 12:00",242.6,242.86,239.86,241.2,-1.37,-0.56%,40313028
"2023-11-21 08:00",235.04,243.62,233.34,242.57,6.97,+2.96%,61901975
"2023-11-20 12:00",234.18,237.1,232.82,235.6,1.42,+0.61%,44279953
"2023-11-20 08:00",234.04,236.17,231.02,234.18,-0.12,-0.05%,53892842
"2023-11-17 12:00",235.22,237.39,233.45,234.3,-0.9307,-0.40%,51799574
"2023-11-17 08:00",232,236.33,226.54,235.2307,1.6407,+0.70%,66799832
"2023-11-16 12:00",235.37,236.75,230.96,233.59,-1.75,-0.74%,57188699
"2023-11-16 08:00",239.49,240.88,234.3,235.34,-7.5,-3.09%,56731199
"2023-11-15 12:00",242,245.17,240.4503,242.84,0.8513,+0.35%,54494469
"2023-11-15 08:00",239.29,246.7,236.45,241.9887,4.5787,+1.93%,68782114
"2023-11-14 12:00",233.969,238.135,233.1,237.41,3.45,+1.47%,56792222
"2023-11-14 08:00",235.03,235.95,230.72,233.96,10.25,+4.58%,63013416
"2023-11-13 12:00",224.2255,224.98,221.57,223.71,-0.5055,-0.23%,53314561
"2023-11-13 08:00",215.6,225.4,211.6101,224.2155,9.5655,+4.46%,61906425
"2023-11-10 12:00",212.25,215.38,211.75,214.65,2.405,+1.13%,51559960
"2023-11-10 08:00",210.03,213.68,205.69,212.245,2.265,+1.08%,56663044
"2023-11-09 12:00",212.24,212.26,206.68,209.98,-2.23,-1.05%,62827336
"2023-11-09 08:00",219.75,220.8,211.82,212.21,-9.935,-4.47%,50770738
"2023-11-08 12:00",219.4792,222.95,217.64,222.145,2.675,+1.22%,41903724
"2023-11-08 08:00",223.15,224.15,217.86,219.47,-2.71,-1.22%,46382034
"2023-11-07 12:00",217.84,223.12,216.9791,222.18,4.37,+2.01%,51189673
"2023-11-07 08:00",219.98,220.9598,215.72,217.81,-1.46,-0.67%,47713173
"2023-11-06 12:00",219.4,219.7659,215,219.27,-0.1101,-0.05%,47879923
"2023-11-06 08:00",223.98,226.32,218.62,219.3801,-0.5799,-0.26%,48715988
"2023-11-03 12:00",219.05,221.38,218.4,219.96,0.91,+0.42%,43709034
"2023-11-03 08:00",221.15,226.3701,218.94,219.05,0.5165,+0.24%,54224364
"2023-11-02 12:00",217.49,219.2,216.14,218.5335,1.0535,+0.48%,45323549
"2023-11-02 08:00",212.97,219.19,211.45,217.48,11.7356,+5.70%,54140586
"2023-11-01 12:00",200.78,205.99,199.69,205.7444,4.9671,+2.47%,52962947
"2023-11-01 08:00",204.04,204.73,197.85,200.7773,-0.0627,-0.03%,46835963
"2023-10-31 12:00",197.92,202.8,197.05,200.84,2.9254,+1.48%,43006467
"2023-10-31 08:00",196.12,201.16,194.07,197.9146,0.5946,+0.30%,51551381
"2023-10-30 12:00",199.34,203.58,191.25,197.32,-2.035,-1.02%,54831860
"2023-10-30 08:00",209.28,211.35,193.37,199.355,-7.945,-3.83%,57568145
"2023-10-27 12:00",210.61,210.88,205.77,207.3,-3.31,-1.57%,34769557
"2023-10-27 08:00",210.6,214.64,203.39,210.61,4.85,+2.36%,42827427
"2023-10-26 12:00",208.2,209.5699,204.88,205.76,-2.46,-1.18%,45065185
"2023-10-26 08:00",211.32,214.8,206.58,208.22,-4.2,-1.98%,48316041
"2023-10-25 12:00",215.725,217.1499,212.2,212.42,-3.29,-1.53%,40675761
"2023-10-25 08:00",215.88,220.1,214.26,215.71,-0.81,-0.37%,45572745
"2023-10-24 12:00",217.44,218.32,214.11,216.52,-0.8975,-0.41%,41662534
"2023-10-24 08:00",216.5,222.05,214.8214,217.4175,5.3375,+2.52%,54737636
"2023-10-23 12:00",214.4185,216.98,211.42,212.08,-2.3234,-1.08%,53019750
"2023-10-23 08:00",210,216.11,202.51,214.4034,2.4134,+1.14%,68210396
"2023-10-20 12:00",212.91,215.75,211.34,211.99,-0.91,-0.43%,53608337
"2023-10-20 08:00",217.01,218.8606,210.42,212.9,-7.21,-3.28%,60459428
"2023-10-19 12:00",221.17,223.09,216.78,220.11,-1.06,-0.48%,60467045
"2023-10-19 08:00",225.95,230.61,218.67,221.17,-21.51,-8.86%,67959065
"2023-10-18 12:00",247.0021,247.81,242.08,242.68,-4.2806,-1.73%,48615189
"2023-10-18 08:00",252.7,254.63,246.54,246.9606,-7.9598,-3.12%,39506289
"2023-10-17 12:00",254.96,257.183,253.6725,254.9204,-0.0199,-0.01%,37021230
"2023-10-17 08:00",250.1,255.09,247.08,254.9403,1.0203,+0.40%,39964073
"2023-10-16 12:00",252.05,255.3999,250.82,253.92,1.88,+0.75%,34995825
"2023-10-16 08:00",250.05,254.17,248.48,252.04,0.92,+0.37%,37397106
"2023-10-13 12:00",253.0284,254.3994,250.22,251.12,-1.92,-0.76%,38355678
"2023-10-13 08:00",258.9,259.6,252.7201,253.04,-5.83,-2.25%,46299029
"2023-10-12 12:00",263.9922,265.39,256.6307,258.87,-5.13,-1.94%,47526297
"2023-10-12 08:00",262.92,265.41,260.95,264,1.01,+0.38%,43723068
"2023-10-11 12:00",262.765,264.13,260.9,262.99,0.23,+0.09%,38618724
"2023-10-11 08:00",266.2,268.6,261.93,262.76,-0.86,-0.33%,47664448
"2023-10-10 12:00",267.68,267.85,262.8,263.62,-4.0791,-1.52%,48407726
"2023-10-10 08:00",257.75,268.94,257.65,267.6991,8.0291,+3.09%,54239386
"2023-10-09 12:00",253.74,261.36,253.58,259.67,5.9349,+2.34%,44746199
