Time,Open,High,Low,Latest,Change,%Change,Volume
"2024-09-19 08:00",571.01,571.89,568.08,570.4,9,+1.60%,16415024
"2024-09-18 12:00",561.63,568.69,560.83,561.4,-0.2406,-0.04%,31705178
"2024-09-18 08:00",563.74,563.93,561.55,561.6406,-1.4294,-0.25%,6891164
"2024-09-17 12:00",564.97,565.19,560.795,563.07,-1.92,-0.34%,19690414
"2024-09-17 08:00",565.1,566.58,564.07,564.99,2.15,+0.38%,10828422
"2024-09-16 12:00",561.275,563.11,560.34,562.84,1.57,+0.28%,12255470
"2024-09-16 08:00",561.74,562.92,559.9,561.27,-0.74,-0.13%,10406214
"2024-09-13 12:00",562.65,563.03,561.02,562.01,-0.65,-0.12%,14834717
"2024-09-13 08:00",559.71,562.8,559.45,562.66,3.57,+0.64%,10955012
"2024-09-12 12:00",554.47,559.4,554.35,559.09,4.59,+0.83%,21213234
"2024-09-12 08:00",555.01,556.64,552.74,554.5,-0.35,-0.06%,11749368
"2024-09-11 12:00",544.48,555.36,544.27,554.85,10.35,+1.90%,28879756
"2024-09-11 08:00",548.7,548.76,539.96,544.5,-4.29,-0.78%,19227765
"2024-09-10 12:00",544.15,549.15,543.38,548.79,4.61,+0.85%,16944867
"2024-09-10 08:00",548.36,548.66,544.12,544.18,-2.23,-0.41%,10445697
"2024-09-09 12:00",545.98,547.71,544.18,546.41,0.42,+0.08%,17502387
"2024-09-09 08:00",544.65,546.39,542.68,545.99,5.58,+1.03%,10623105
"2024-09-06 12:00",540.53,542,539.44,540.41,-0.17,-0.03%,24595517
"2024-09-06 08:00",549.94,551.6,540.26,540.58,-9.03,-1.64%,21405531
"2024-09-05 12:00",547.48,551.18,547.1,549.61,2.12,+0.39%,17725700
"2024-09-05 08:00",550.89,553.7995,547.36,547.49,-3.3,-0.60%,12989754
"2024-09-04 12:00",551.82,553.09,549.46,550.79,-1.0599,-0.19%,18334679
"2024-09-04 08:00",550.2,554.43,550.025,551.8499,-0.2901,-0.05%,14204474
