dataset,min_rr,fvg_lookback,pm_big_day_range_atr,min_stop_atr,bias_min_score,min_confs,require_fvg_tap,accum_minutes,target_mode,hours,trades,total_R,avg_R,win_rate,is_trades,is_total_R,is_avg_R,is_win_rate,oos_trades,oos_total_R,oos_avg_R,oos_win_rate,split_date
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,15,rr,"10,14",119,-6.87,-0.058,37.8,75,-9.69,-0.129,33.3,44,2.82,0.064,45.5,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,30,pdh_pdl,10,28,-10.65,-0.38,32.1,19,-8.61,-0.453,31.6,9,-2.04,-0.226,33.3,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,30,pdh_pdl,"10,14",37,-4.93,-0.133,40.5,26,-4.11,-0.158,42.3,11,-0.83,-0.075,36.4,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,30,rr,10,73,-16.61,-0.227,35.6,42,-12.68,-0.302,33.3,31,-3.93,-0.127,38.7,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,30,rr,"10,14",101,-6.08,-0.06,40.6,61,-7.13,-0.117,37.7,40,1.05,0.026,45.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,60,pdh_pdl,10,27,-14.07,-0.521,25.9,19,-7.57,-0.399,31.6,8,-6.5,-0.812,12.5,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,60,pdh_pdl,"10,14",30,-12.0,-0.4,33.3,21,-6.48,-0.308,38.1,9,-5.53,-0.614,22.2,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,60,rr,10,63,-18.46,-0.293,34.9,36,-14.44,-0.401,33.3,27,-4.02,-0.149,37.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,60,rr,"10,14",80,-13.95,-0.174,37.5,49,-10.74,-0.219,36.7,31,-3.21,-0.104,38.7,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,15,pdh_pdl,10,15,-2.9,-0.193,40.0,13,-1.81,-0.139,46.2,2,-1.09,-0.546,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,15,pdh_pdl,"10,14",19,-1.31,-0.069,42.1,17,-0.22,-0.013,47.1,2,-1.09,-0.546,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,15,rr,10,63,0.12,0.002,47.6,40,-3.16,-0.079,45.0,23,3.29,0.143,52.2,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,15,rr,"10,14",79,0.63,0.008,45.6,53,-5.13,-0.097,39.6,26,5.77,0.222,57.7,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,30,pdh_pdl,10,14,-5.62,-0.402,28.6,12,-4.53,-0.378,33.3,2,-1.09,-0.546,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,30,pdh_pdl,"10,14",18,-4.04,-0.224,33.3,16,-2.95,-0.184,37.5,2,-1.09,-0.546,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,30,rr,10,49,-2.14,-0.044,49.0,29,-7.27,-0.251,41.4,20,5.14,0.257,60.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,30,rr,"10,14",61,-0.75,-0.012,45.9,40,-7.2,-0.18,37.5,21,6.45,0.307,61.9,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,60,pdh_pdl,10,14,-1.94,-0.139,42.9,12,-2.52,-0.21,41.7,2,0.58,0.288,50.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,60,pdh_pdl,"10,14",14,-1.94,-0.139,42.9,12,-2.52,-0.21,41.7,2,0.58,0.288,50.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,60,rr,10,41,-0.95,-0.023,51.2,25,-5.32,-0.213,44.0,16,4.37,0.273,62.5,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,True,60,rr,"10,14",46,-2.8,-0.061,45.7,30,-7.18,-0.239,36.7,16,4.37,0.273,62.5,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,15,pdh_pdl,10,21,-1.55,-0.074,42.9,18,-2.73,-0.152,44.4,3,1.18,0.393,33.3,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,15,pdh_pdl,"10,14",27,0.96,0.036,44.4,24,-0.22,-0.009,45.8,3,1.18,0.393,33.3,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,15,rr,10,79,6.84,0.087,46.8,47,-2.55,-0.054,42.6,32,9.39,0.294,53.1,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,15,rr,"10,14",103,8.16,0.079,46.6,67,-3.76,-0.056,40.3,36,11.92,0.331,58.3,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,30,pdh_pdl,10,21,-2.55,-0.121,42.9,17,-3.83,-0.225,41.2,4,1.28,0.32,50.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,30,pdh_pdl,"10,14",26,-1.2,-0.046,42.3,22,-2.48,-0.113,40.9,4,1.28,0.32,50.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,30,rr,10,61,4.47,0.073,52.5,37,-3.48,-0.094,45.9,24,7.95,0.331,62.5,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,30,rr,"10,14",82,12.72,0.155,53.7,52,-0.63,-0.012,44.2,30,13.35,0.445,70.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,60,pdh_pdl,10,22,-4.67,-0.212,40.9,18,-4.34,-0.241,38.9,4,-0.33,-0.082,50.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,60,pdh_pdl,"10,14",23,-4.9,-0.213,39.1,19,-4.58,-0.241,36.8,4,-0.33,-0.082,50.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,60,rr,10,51,-2.68,-0.053,51.0,31,-7.14,-0.23,41.9,20,4.46,0.223,65.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,2,False,60,rr,"10,14",61,0.5,0.008,49.2,40,-4.85,-0.121,40.0,21,5.35,0.255,66.7,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,15,pdh_pdl,10,1,-1.01,-1.012,0.0,1,-1.01,-1.012,0.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,15,pdh_pdl,"10,14",3,-0.96,-0.319,33.3,3,-0.96,-0.319,33.3,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,15,rr,10,23,-0.34,-0.015,56.5,14,-0.48,-0.034,57.1,9,0.14,0.016,55.6,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,15,rr,"10,14",35,-2.35,-0.067,48.6,23,-2.0,-0.087,47.8,12,-0.35,-0.029,50.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,30,pdh_pdl,10,2,-2.03,-1.013,0.0,2,-2.03,-1.013,0.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,30,pdh_pdl,"10,14",4,-1.97,-0.493,25.0,4,-1.97,-0.493,25.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,30,rr,10,18,0.65,0.036,55.6,9,-1.49,-0.165,44.4,9,2.14,0.237,66.7,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,30,rr,"10,14",28,-0.03,-0.001,50.0,17,-1.99,-0.117,41.2,11,1.96,0.178,63.6,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,60,pdh_pdl,10,1,-1.01,-1.012,0.0,1,-1.01,-1.012,0.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,60,pdh_pdl,"10,14",1,-1.01,-1.012,0.0,1,-1.01,-1.012,0.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,60,rr,10,12,1.31,0.109,66.7,5,-0.84,-0.168,60.0,7,2.15,0.307,71.4,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,True,60,rr,"10,14",16,-0.46,-0.029,50.0,9,-2.6,-0.289,33.3,7,2.15,0.307,71.4,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,15,pdh_pdl,10,2,-2.03,-1.013,0.0,2,-2.03,-1.013,0.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,15,pdh_pdl,"10,14",5,-2.45,-0.489,20.0,5,-2.45,-0.489,20.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,15,rr,10,33,-3.07,-0.093,48.5,18,-4.64,-0.258,38.9,15,1.57,0.105,60.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,15,rr,"10,14",53,-5.27,-0.1,45.3,32,-7.73,-0.242,37.5,21,2.46,0.117,57.1,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,30,pdh_pdl,10,2,-2.03,-1.013,0.0,2,-2.03,-1.013,0.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,30,pdh_pdl,"10,14",5,-2.45,-0.489,20.0,5,-2.45,-0.489,20.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,30,rr,10,23,1.62,0.07,56.5,11,-1.51,-0.137,45.5,12,3.13,0.261,66.7,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,30,rr,"10,14",39,1.73,0.044,51.3,21,-2.28,-0.109,42.9,18,4.02,0.223,61.1,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,60,pdh_pdl,10,1,-1.01,-1.012,0.0,1,-1.01,-1.012,0.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,60,pdh_pdl,"10,14",1,-1.01,-1.012,0.0,1,-1.01,-1.012,0.0,0,0.0,0.0,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,60,rr,10,14,1.88,0.134,64.3,6,-1.18,-0.197,50.0,8,3.06,0.383,75.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,3,False,60,rr,"10,14",20,0.76,0.038,55.0,12,-2.3,-0.192,41.7,8,3.06,0.383,75.0,2025-07-27
