symbol,timeframe,lookback,threshold,atr_mult,trend_filter,session_window,trades,win_rate,expectancy,total_R
QQQ,15m,48,0.015,2.5,off,us_market_hours,208,48.1,-0.049,-10.19
QQQ,15m,48,0.015,2.5,on,all_hours,192,49.5,-0.01,-1.92
QQQ,15m,48,0.015,2.5,on,us_market_hours,132,49.2,-0.05,-6.6
QQQ,15m,48,0.015,3.0,off,all_hours,261,52.5,0.05,13.05
QQQ,15m,48,0.015,3.0,off,us_market_hours,204,48.0,-0.042,-8.57
QQQ,15m,48,0.015,3.0,on,all_hours,182,53.3,0.066,12.01
QQQ,15m,48,0.015,3.0,on,us_market_hours,130,48.5,-0.037,-4.81
QQQ,15m,48,0.015,3.5,off,all_hours,239,54.4,0.088,21.03
QQQ,15m,48,0.015,3.5,off,us_market_hours,200,50.0,-0.004,-0.8
QQQ,15m,48,0.015,3.5,on,all_hours,171,55.0,0.099,16.93
QQQ,15m,48,0.015,3.5,on,us_market_hours,127,50.4,0.006,0.76
QQQ,15m,48,0.02,2.0,off,all_hours,201,51.7,0.035,7.04
QQQ,15m,48,0.02,2.0,off,us_market_hours,133,53.4,0.025,3.32
QQQ,15m,48,0.02,2.0,on,all_hours,143,53.1,0.063,9.01
QQQ,15m,48,0.02,2.0,on,us_market_hours,88,58.0,0.102,8.98
QQQ,15m,48,0.02,2.5,off,all_hours,183,51.9,0.038,6.95
QQQ,15m,48,0.02,2.5,off,us_market_hours,128,52.3,-0.006,-0.77
QQQ,15m,48,0.02,2.5,on,all_hours,132,54.5,0.091,12.01
QQQ,15m,48,0.02,2.5,on,us_market_hours,85,55.3,0.05,4.25
QQQ,15m,48,0.02,3.0,off,all_hours,166,51.2,0.024,3.98
QQQ,15m,48,0.02,3.0,off,us_market_hours,126,51.6,-0.013,-1.64
QQQ,15m,48,0.02,3.0,on,all_hours,126,53.2,0.063,7.94
QQQ,15m,48,0.02,3.0,on,us_market_hours,83,54.2,0.035,2.9
QQQ,15m,48,0.02,3.5,off,all_hours,154,52.6,0.052,8.01
QQQ,15m,48,0.02,3.5,off,us_market_hours,123,52.8,0.006,0.74
QQQ,15m,48,0.02,3.5,on,all_hours,117,56.4,0.128,14.98
QQQ,15m,48,0.02,3.5,on,us_market_hours,81,55.6,0.062,5.02
QQQ,15m,48,0.025,2.0,off,all_hours,131,47.3,-0.053,-6.94
QQQ,15m,48,0.025,2.0,off,us_market_hours,87,50.6,0.026,2.26
