symbol,timeframe,lookback,threshold,atr_mult,trend_filter,session_window,trades,win_rate,expectancy,total_R
ES,1h,48,0.03,2.5,on,all_hours,21,47.6,-0.048,-1.01
ES,1h,48,0.03,2.5,on,us_market_hours,15,53.3,-0.202,-3.03
ES,1h,48,0.03,3.0,off,all_hours,31,51.6,0.032,0.99
ES,1h,48,0.03,3.0,off,us_market_hours,26,50.0,-0.04,-1.04
ES,1h,48,0.03,3.0,on,all_hours,20,45.0,-0.1,-2.0
ES,1h,48,0.03,3.0,on,us_market_hours,14,50.0,-0.135,-1.89
ES,1h,48,0.03,3.5,off,all_hours,31,48.4,-0.032,-0.99
ES,1h,48,0.03,3.5,off,us_market_hours,25,48.0,-0.012,-0.3
ES,1h,48,0.03,3.5,on,all_hours,20,45.0,-0.1,-2.0
ES,1h,48,0.03,3.5,on,us_market_hours,13,46.2,-0.081,-1.05
ES,4h,12,0.01,2.0,off,all_hours,186,48.9,-0.022,-4.09
ES,4h,12,0.01,2.0,on,all_hours,114,50.9,0.018,2.05
ES,4h,12,0.01,2.5,off,all_hours,155,46.5,-0.071,-11.0
ES,4h,12,0.01,2.5,on,all_hours,107,50.5,0.009,0.96
ES,4h,12,0.01,3.0,off,all_hours,122,50.0,0.0,0.0
ES,4h,12,0.01,3.0,on,all_hours,91,50.5,0.011,1.0
ES,4h,12,0.01,3.5,off,all_hours,110,50.9,0.018,1.98
ES,4h,12,0.01,3.5,on,all_hours,86,53.5,0.07,6.02
ES,4h,12,0.015,2.0,off,all_hours,140,43.6,-0.129,-18.06
ES,4h,12,0.015,2.0,on,all_hours,85,45.9,-0.082,-6.97
ES,4h,12,0.015,2.5,off,all_hours,114,48.2,-0.035,-3.99
ES,4h,12,0.015,2.5,on,all_hours,73,54.8,0.096,7.01
ES,4h,12,0.015,3.0,off,all_hours,93,51.6,0.032,2.98
ES,4h,12,0.015,3.0,on,all_hours,63,52.4,0.048,3.02
ES,4h,12,0.015,3.5,off,all_hours,78,51.3,0.026,2.03
ES,4h,12,0.015,3.5,on,all_hours,58,55.2,0.103,5.97
ES,4h,12,0.02,2.0,off,all_hours,97,45.4,-0.093,-9.02
ES,4h,12,0.02,2.0,on,all_hours,59,54.2,0.085,5.02
ES,4h,12,0.02,2.5,off,all_hours,83,53.0,0.06,4.98
ES,4h,12,0.02,2.5,on,all_hours,53,58.5,0.17,9.01
ES,4h,12,0.02,3.0,off,all_hours,74,51.4,0.027,2.0
ES,4h,12,0.02,3.0,on,all_hours,49,57.1,0.143,7.01
